"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7931","End to End Opencart application test @endToend","chromium","2026-01-02","passed","2026-01-02","","EndToEnd.spec.ts","",""
"","2073","product search test @master @regression","chromium","2026-01-01","passed","2026-01-01","","SearchProduct.spec.ts","",""
"","3378","Login with valid credentials","chromium","2025-12-30","passed","2025-12-30","","Login.spec.ts","",""
"","5364","user logout test @master @regression","chromium","2026-01-01","passed","2026-01-01","","Logout.spec.ts","",""
"","4677","user registration test","chromium","2025-12-30","passed","2025-12-30","","AccountRegistration.spec.ts","",""
"","6358","user registration test @master @sanity @regression","chromium","2026-01-02","passed","2026-01-02","","AccountRegistration.spec.ts","",""
"","4498","Login with valid credentials @master @sanity @regression","chromium","2026-01-02","passed","2026-01-02","","Login.spec.ts","",""
"","3441","Login with JSON Data: Invalid login @datadriven","chromium","2025-12-31","passed","2025-12-31","","LoginDataDriven.spec.ts","",""
"","6626","product adding to cart test @master @regression","chromium","2026-01-01","passed","2026-01-01","","AddToCart.spec.ts","",""
"","3542","Login with JSON Data: Valid login @datadriven","chromium","2025-12-31","passed","2025-12-31","","LoginDataDriven.spec.ts","",""
